Classe,Número do RIP,Id. Utilização,Data de cadastramento,UF,Município,Endereço,Bairro,Conceituação,Tipo Imóvel,Regime de Utilização,Proprietário Oficial,Data do Início da Utilização,Área do Terreno Total,Área da União,lat,lng,format_address
IMOVEL FUNCIONAL,9701160095001,9701153265002.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 201 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.8016108,-47.8967057,"SHIGS St. de Habitações Individuais Geminadas Sul 703 BL J - Brasília, DF, 70331-700, Brazil"
IMOVEL FUNCIONAL,9701160105007,9701077605006.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 611 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701160155004,9701077585005.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 609 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701160195006,9701153185009.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 406 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701160235008,9701153195004.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 404 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701160365009,9701153205000.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 306 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701160385000,9701153175003.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 402 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701160555002,9701077595000.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 610 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701160595004,9701023405009.0,21-12-2001,DF,BRASILIA,Q QUADRA SHCE/SUL 805 BLOCO C -  APARTAMENTO 403 CEP: 70650000,CRUZEIRO NOVO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,24","         392,24",-15.8272168,-47.9104788,"Asa Sul CLS 211 bloco C Loja 17 - Asa Sul, Brasília - DF, 70274-530, Brazil"
IMOVEL FUNCIONAL,9701160625000,9701023435005.0,21-12-2001,DF,BRASILIA,Q SHCE/SUL 903 PROJEÇÃO 01 BLOCO A -  AP 103 CEP: 70650000,CRUZEIRO NOVO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         251,06","         251,06",-15.7964102,-47.9348409,"SHCS 1503, Bloco A - Cruzeiro Novo Q 1503 - Cruzeiro Novo, Brasília - DF, 70658-531, Brazil"
IMOVEL FUNCIONAL,9701160725005,9701077575000.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 608 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701161345001,9701077565004.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 607 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701161665006,9701006595008.0,21-12-2001,DF,BRASILIA,Q SQN 103 APARTAMENTO 101 BLOCO D CEP: 70722000,ASA NORTE,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.053,12","       1.053,12",-15.7799236,-47.8830505,"Asa Norte Superquadra Norte 103 BL D - Brasília, DF, 70297-400, Brazil"
IMOVEL FUNCIONAL,9701161815008,9701077555009.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 606 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701161835009,9701006695002.0,21-12-2001,DF,BRASILIA,Q SQN 103 APARTAMENTO 606 BLOCO B CEP: 70722000,ASA NORTE,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.051,64","       1.051,64",-15.7793606,-47.8828783,"Asa Norte Superquadra Norte 103 - Asa Norte, Brasília - DF, 70732-000, Brazil"
IMOVEL FUNCIONAL,9701162085003,9701153295009.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 406 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162105004,9701153305004.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 403 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162165007,9701153325005.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 302 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162185008,9701153335000.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 301 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162235005,9701153345006.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 204 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162255006,9701153355001.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 106 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162285002,9701153365007.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 105 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162325004,9701153375002.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 104 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162355000,9701006475002.0,21-12-2001,DF,BRASILIA,Q SQS 209 APARTAMENTO 101 BLOCO 'B' CEP: 70722000,ASA SUL,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.067,00","       1.067,00",-15.8221725,-47.9028287,"BL B - ERL - Sul, 32 - Brasília, DF, 70272-000, Brazil"
IMOVEL FUNCIONAL,9701162365006,9701077545003.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 605 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701162395002,9701153385008.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO F ,  APTO 103 CEP: 70655736",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7991003,-47.9403383,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-736, Brazil"
IMOVEL FUNCIONAL,9701162485001,9701006285009.0,21-12-2001,DF,BRASILIA,Q CRUZEIRO NOVO 307 APARTAMENTO- PROJECAO 1 CEP: 70650000,STR HABIT COLET ECON,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         251,06","         251,06",-15.7951337,-47.9423502,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70650, Brazil"
IMOVEL FUNCIONAL,9701162585006,9701006345001.0,21-12-2001,DF,BRASILIA,Q SQS 209 APARTAMENTO - PROJEÇÃO 7 BLOCO CEP: 70722100,ASA SUL,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         990,25","         990,25",-15.8218562,-47.9038911,"Asa Sul Superquadra Sul 209 - Asa Sul, Brasília - DF, 70272-000, Brazil"
IMOVEL FUNCIONAL,9701162705001,9701006435000.0,21-12-2001,DF,BRASILIA,Q SQS 209 APARTAMENTO 101 BLOCO K CEP: 70722000,ASA SUL,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         990,25","         990,25",-15.8207027,-47.9036,"Asa Sul Superquadra Sul 209 BL K - Brasília, DF, 70272-000, Brazil"
IMOVEL FUNCIONAL,9701162765004,9701077535008.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 512 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701162855003,9701077515007.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 510 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
